celebrity_name,season,placement,week1_fan_vote_pct,week2_fan_vote_pct,week3_fan_vote_pct,week4_fan_vote_pct,week5_fan_vote_pct,week6_fan_vote_pct,week7_fan_vote_pct,week8_fan_vote_pct,week9_fan_vote_pct,week10_fan_vote_pct,week11_fan_vote_pct
Nancy Kerrigan,24,7,0.083333333325,0.08418699251583325,0.08333333642849919,0.08566462174138371,0.08675438670606388,0.08789513117160526,0.05461316133687658,0.083333333325,0.08333333469922813,0.083333333325,0.0
Bonner Bolton,24,5,0.083333333325,0.08418699251583325,0.09333333294104207,0.08719836412020857,0.09662280814141966,0.08870042571983451,0.09286880679711525,0.083333333325,0.08333333469963398,0.083333333325,0.0
Simone Biles,24,4,0.083333333325,0.08333333767086906,0.08333333642849919,0.08333333704998729,0.08346491289427861,0.087492483913974,0.08528592507624945,0.083333333325,0.04849004088136058,0.083333333325,0.0
David Ross,24,2,0.083333333325,0.08571138281713098,0.08333333642849919,0.08873210649903343,0.09826754504731229,0.08890174935506938,0.0919209465755278,0.083333333325,0.10035354569123027,0.083333333325,0.0
Rashad Jennings,24,1,0.083333333325,0.08333333767086906,0.08698412644210084,0.08333333704998729,0.09333333433691035,0.08729116027225078,0.08528592506900123,0.083333333325,0.09177878340535948,0.083333333325,0.0
Chris Kattan,24,12,0.083333333325,0.05754062767426847,0.08333333642849919,0.08333333704998729,0.08333333767117224,0.08431962418705131,0.08333333481534054,0.083333333325,0.08333333469046093,0.083333333325,0.0
Erika Jayne,24,9,0.083333333325,0.08418699251583325,0.09015872969157146,0.09026584887785828,0.028135941046351903,0.08431962418705131,0.08333333481534054,0.083333333325,0.08333333469046093,0.083333333325,0.0
Normani,24,3,0.083333333325,0.08333333767086906,0.08333333642849919,0.08719836412020857,0.08333333767117224,0.08688851298070785,0.08333333481534054,0.083333333325,0.09271095235376539,0.083333333325,0.0
Nick Viall,24,6,0.083333333325,0.0887601634233644,0.09015872968793348,0.09026584887785828,0.09004386052512509,0.08914605716103037,0.0900252261607103,0.083333333325,0.08333333469070263,0.083333333325,0.0
Sasha Pieterse,25,10,0.08273897824018217,0.07692308092723595,0.07692307691538464,0.0793736824443178,0.025658681525576738,0.07692307863474943,0.07692307920787105,0.07692307920675166,0.07692307829738408,0.07692307863478441,0.0
